,
 ΓΕΙΑ,ΓΕΙΑ
 ΕΓΩ(1),ΕΓΩ(1)
 ΕΘΝΙΚΗ,ΕΘΝΙΚΗ
 ΕΣΥ,ΕΣΥ
 ΚΑΠΟΙΟΣ,ΚΑΠΟΙΟΣ
 ΜΕΡΕΣ_ΤΡΕΙΣ,ΜΕΡΕΣ_ΤΡΕΙΣ
 ΝΑΙ,ΝΑΙ
'Η,Η
1,1
10,10
1000,1000
14,14
15,15
18,18
2,2
20,20
200,200
3,3
30,30
400,400
5,5
60,60
60+3,60+3
AΚΟΥΩ_ΜΕΙΩΝΩ,ΑΚΟΥΩ_ΜΕΙΩΝΩ
EKEI,ΕΚΕΙ
EYXARISTV,ΕΥΧΑΡΙΣΤΩ
H,Η
HΜΕΡΕΣ,ΗΜΕΡΕΣ
KANONIKA,ΚΑΝΟΝΙΚΑ
KINHTO,ΚΙΝΗΤΟ
MAZI,ΜΑΖΙ
META,ΜΕΤΑ
MΕΧΡΙ,ΜΕΧΡΙ
NAI,ΝΑΙ
OXI,ΟΧΙ
Ή,Η
ΌΧΙ,ΟΧΙ
ΑΔΕΙΑ,ΑΔΕΙΑ
ΑΔΥΝΑΤΟΣ,ΑΔΥΝΑΤΟΣ
ΑΙΜΑ,ΑΙΜΑ
ΑΙΤΗΣΗ,ΑΙΤΗΣΗ
ΑΚΟΜΑ,ΑΚΟΜΑ
ΑΚΟΥΟΓΡΑΜΜΑ,ΑΚΟΥΟΓΡΑΜΜΑ
ΑΚΟΥΩ,ΑΚΟΥΩ
ΑΚΟΥΩ_ΜΕΙΩΝΩ,ΑΚΟΥΩ_ΜΕΙΩΝΩ
ΑΚΡΙΒΩΣ,ΑΚΡΙΒΩΣ
ΑΛΗΘΕΙΑ,ΑΛΗΘΕΙΑ
ΑΛΛΑ,ΑΛΛΑ
ΑΜΚΑ (Δ.Α.),ΑΜΚΑ(Δ.Α.)
ΑΜΚΑ(Δ.Α.),ΑΜΚΑ(Δ.Α.)
ΑΝΑΘΕΤΩ,ΑΝΑΘΕΤΩ
ΑΝΑΠΗΡΙΑ,ΑΝΑΠΗΡΙΑ
